09:30:00.073375	 action=Action [customId=0	 type=SELL	 stock=1301 台塑	 volume=1	 price=37.75	 orderType=ROD]	 orderId=624734	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=1	 type=SELL	 stock=1301 台塑	 volume=40	 price=37.70	 orderType=ROD]	 orderId=624735	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=2	 type=SELL	 stock=2049 上銀	 volume=7	 price=299.00	 orderType=ROD]	 orderId=624736	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=3	 type=SELL	 stock=2049 上銀	 volume=1	 price=298.50	 orderType=ROD]	 orderId=624737	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=4	 type=SELL	 stock=2317 鴻海	 volume=35	 price=173.00	 orderType=ROD]	 orderId=624738	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=5	 type=SELL	 stock=2317 鴻海	 volume=15	 price=172.50	 orderType=ROD]	 orderId=624739	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=6	 type=SELL	 stock=2330 台積電	 volume=4	 price=1015.00	 orderType=ROD]	 orderId=624740	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=7	 type=SELL	 stock=2330 台積電	 volume=29	 price=1010.00	 orderType=ROD]	 orderId=624741	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=8	 type=SELL	 stock=2337 旺宏	 volume=9	 price=21.60	 orderType=ROD]	 orderId=624742	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=9	 type=SELL	 stock=2337 旺宏	 volume=24	 price=21.55	 orderType=ROD]	 orderId=624743	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=10	 type=SELL	 stock=2374 佳能	 volume=11	 price=59.80	 orderType=ROD]	 orderId=624744	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=11	 type=SELL	 stock=2374 佳能	 volume=1	 price=59.70	 orderType=ROD]	 orderId=624745	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=12	 type=SELL	 stock=2409 友達	 volume=11	 price=14.85	 orderType=ROD]	 orderId=624746	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=13	 type=SELL	 stock=2409 友達	 volume=5	 price=14.80	 orderType=ROD]	 orderId=624747	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=14	 type=SELL	 stock=2609 陽明	 volume=8	 price=72.50	 orderType=ROD]	 orderId=624748	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=15	 type=SELL	 stock=2609 陽明	 volume=33	 price=72.40	 orderType=ROD]	 orderId=624749	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=16	 type=SELL	 stock=2618 長榮航	 volume=8	 price=42.80	 orderType=ROD]	 orderId=624750	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=17	 type=SELL	 stock=2618 長榮航	 volume=17	 price=42.75	 orderType=ROD]	 orderId=624751	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=18	 type=SELL	 stock=2885 元大金	 volume=7	 price=36.55	 orderType=ROD]	 orderId=624752	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=19	 type=SELL	 stock=2885 元大金	 volume=18	 price=36.50	 orderType=ROD]	 orderId=624753	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=20	 type=SELL	 stock=3231 緯創	 volume=6	 price=108.00	 orderType=ROD]	 orderId=624754	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=21	 type=SELL	 stock=3231 緯創	 volume=27	 price=107.50	 orderType=ROD]	 orderId=624755	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=22	 type=SELL	 stock=3481 群創	 volume=51	 price=14.75	 orderType=ROD]	 orderId=624756	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=23	 type=SELL	 stock=3481 群創	 volume=32	 price=14.70	 orderType=ROD]	 orderId=624757	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=24	 type=SELL	 stock=3706 神達	 volume=7	 price=68.70	 orderType=ROD]	 orderId=624758	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=25	 type=SELL	 stock=3706 神達	 volume=9	 price=68.60	 orderType=ROD]	 orderId=624759	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=26	 type=SELL	 stock=6757 台灣虎航	 volume=1	 price=82.70	 orderType=ROD]	 orderId=624760	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=27	 type=SELL	 stock=6757 台灣虎航	 volume=3	 price=82.60	 orderType=ROD]	 orderId=624761	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=28	 type=SELL	 stock=6139 亞翔	 volume=2	 price=264.50	 orderType=ROD]	 orderId=624762	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=29	 type=SELL	 stock=6139 亞翔	 volume=2	 price=263.50	 orderType=ROD]	 orderId=624763	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=30	 type=SELL	 stock=2368 金像電	 volume=7	 price=218.50	 orderType=ROD]	 orderId=624764	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=31	 type=SELL	 stock=2368 金像電	 volume=9	 price=218.00	 orderType=ROD]	 orderId=624765	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=32	 type=SELL	 stock=6446 藥華藥	 volume=2	 price=634.00	 orderType=ROD]	 orderId=624766	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=33	 type=SELL	 stock=6446 藥華藥	 volume=2	 price=633.00	 orderType=ROD]	 orderId=624767	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=34	 type=SELL	 stock=6438 迅得	 volume=4	 price=192.50	 orderType=ROD]	 orderId=624768	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=35	 type=SELL	 stock=5388 中磊	 volume=4	 price=137.50	 orderType=ROD]	 orderId=624769	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=36	 type=SELL	 stock=4772 台特化	 volume=3	 price=236.00	 orderType=ROD]	 orderId=624770	 msg='[SUCCESS]'
09:30:00.073375	 action=Action [customId=37	 type=SELL	 stock=4772 台特化	 volume=1	 price=235.50	 orderType=ROD]	 orderId=624771	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=38	 type=SELL	 stock=1301 台塑	 volume=38	 price=37.65	 orderType=ROD]	 orderId=624772	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=39	 type=SELL	 stock=1301 台塑	 volume=3	 price=37.60	 orderType=ROD]	 orderId=624773	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=40	 type=SELL	 stock=2049 上銀	 volume=5	 price=299.00	 orderType=ROD]	 orderId=624774	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=41	 type=SELL	 stock=2049 上銀	 volume=3	 price=298.50	 orderType=ROD]	 orderId=624775	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=42	 type=SELL	 stock=2317 鴻海	 volume=4	 price=172.50	 orderType=ROD]	 orderId=624776	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=43	 type=SELL	 stock=2317 鴻海	 volume=46	 price=172.00	 orderType=ROD]	 orderId=624777	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=44	 type=SELL	 stock=2330 台積電	 volume=5	 price=1015.00	 orderType=ROD]	 orderId=624778	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=45	 type=SELL	 stock=2330 台積電	 volume=28	 price=1010.00	 orderType=ROD]	 orderId=624779	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=46	 type=SELL	 stock=2337 旺宏	 volume=12	 price=21.55	 orderType=ROD]	 orderId=624780	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=47	 type=SELL	 stock=2337 旺宏	 volume=22	 price=21.50	 orderType=ROD]	 orderId=624781	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=48	 type=SELL	 stock=2374 佳能	 volume=7	 price=59.50	 orderType=ROD]	 orderId=624782	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=49	 type=SELL	 stock=2374 佳能	 volume=5	 price=59.40	 orderType=ROD]	 orderId=624783	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=50	 type=SELL	 stock=2409 友達	 volume=8	 price=14.85	 orderType=ROD]	 orderId=624784	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=51	 type=SELL	 stock=2409 友達	 volume=8	 price=14.80	 orderType=ROD]	 orderId=624785	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=52	 type=SELL	 stock=2609 陽明	 volume=19	 price=72.40	 orderType=ROD]	 orderId=624786	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=53	 type=SELL	 stock=2609 陽明	 volume=23	 price=72.30	 orderType=ROD]	 orderId=624787	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=54	 type=SELL	 stock=2618 長榮航	 volume=24	 price=42.75	 orderType=ROD]	 orderId=624788	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=55	 type=SELL	 stock=2618 長榮航	 volume=1	 price=42.70	 orderType=ROD]	 orderId=624789	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=56	 type=SELL	 stock=2885 元大金	 volume=12	 price=36.50	 orderType=ROD]	 orderId=624790	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=57	 type=SELL	 stock=2885 元大金	 volume=13	 price=36.45	 orderType=ROD]	 orderId=624791	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=58	 type=SELL	 stock=3231 緯創	 volume=21	 price=108.00	 orderType=ROD]	 orderId=624792	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=59	 type=SELL	 stock=3231 緯創	 volume=12	 price=107.50	 orderType=ROD]	 orderId=624793	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=60	 type=SELL	 stock=3481 群創	 volume=46	 price=14.70	 orderType=ROD]	 orderId=624794	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=61	 type=SELL	 stock=3481 群創	 volume=42	 price=14.65	 orderType=ROD]	 orderId=624795	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=62	 type=SELL	 stock=3706 神達	 volume=1	 price=68.70	 orderType=ROD]	 orderId=624796	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=63	 type=SELL	 stock=3706 神達	 volume=15	 price=68.60	 orderType=ROD]	 orderId=624797	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=64	 type=SELL	 stock=6757 台灣虎航	 volume=4	 price=82.70	 orderType=ROD]	 orderId=624798	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=65	 type=SELL	 stock=6139 亞翔	 volume=2	 price=267.50	 orderType=ROD]	 orderId=624799	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=66	 type=SELL	 stock=6139 亞翔	 volume=2	 price=266.50	 orderType=ROD]	 orderId=624800	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=67	 type=SELL	 stock=2368 金像電	 volume=4	 price=218.00	 orderType=ROD]	 orderId=624801	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=68	 type=SELL	 stock=2368 金像電	 volume=13	 price=217.50	 orderType=ROD]	 orderId=624802	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=69	 type=SELL	 stock=6446 藥華藥	 volume=2	 price=636.00	 orderType=ROD]	 orderId=624803	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=70	 type=SELL	 stock=6446 藥華藥	 volume=2	 price=634.00	 orderType=ROD]	 orderId=624804	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=71	 type=SELL	 stock=6438 迅得	 volume=4	 price=192.50	 orderType=ROD]	 orderId=624805	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=72	 type=SELL	 stock=5388 中磊	 volume=1	 price=136.00	 orderType=ROD]	 orderId=624806	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=73	 type=SELL	 stock=5388 中磊	 volume=3	 price=135.50	 orderType=ROD]	 orderId=624807	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=74	 type=SELL	 stock=4772 台特化	 volume=4	 price=235.50	 orderType=ROD]	 orderId=624808	 msg='[SUCCESS]'
09:35:00.003998	 action=Action [customId=75	 type=DELETE	 targetOrderId=624742]	 orderId=-1	 msg='[SUCCESS]'
